,Activity_ID,Activity_Name,Activity_Content,Activity_Type,GameType,Ages_2yo,Ages_3yo,Ages_4yo,Ages_5yo,Ages_6yo,Ages_7yo,Cultures_None,Cultures_Brazil,Cultures_US,Cultures_UK,Cultures_Denmark,Cultures_Spain,Cultures_Mexico,Cultures_Canada,Cultures_Portugal,Cultures_Australia,Cultures_France,Cultures_Italy,Cultures_Germany
0,farm-poiki-book-1,"Book: Poiki, the farmer",farm,standard,reading-book,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,farm-poiki-book-2,Book: The animals in the farm,farm-animals,standard,reading-book,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,farm-wendy-book-1,Book: Colors in the farm,colors,standard,reading-book,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,farm-kevin-book-1,Book: Shapes in the farm,shapes,standard,reading-book,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,country-none-book-1,How are the farms in my country?,my-country,cultural,reading-book,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
5,country-none-book-2,Which vegetables in my country?,vegetables,cultural,reading-book,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
6,country-none-book-3,Famous people from my country,my-country,cultural,reading-book,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
7,country-none-book-4,Monuments from my country,my-country,cultural,reading-book,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
8,home-kevin-book-1,Book about diaper weaning,diaper-weaning,SEL,reading-book,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,daycare-all-book-1,Book about sharing toys,social-codes,SEL,reading-book,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,world-all-book-1,Book: how people live around the world,diversity,SEL,reading-book,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
11,home-wendy-book-1,Book about new baby in the family,family,SEL,reading-book,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,travel-yasmin-book-1,Book about saying goodbye,greetings,SEL,reading-book,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,who-wendy-book-1,Book: Wendy is a scientist,characters,standard,reading-book,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,who-wendy-book-2,Book: It is time to open the birthday gift,birthday,standard,reading-book,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,lab-wendy-book-1,Book: Wendy teaches about germs,science,standard,reading-book,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,farm-poiki-videoclip-1,Videoclip: Old MacDonalds had a farm,farm-animals,standard,videoclip,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,farm-poiki-videoclip-2,Videoclip: A farmer had a dog called BINGO,phonics,standard,videoclip,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,theatre-all-videoclip-1,Videoclip: 5 little ducks,numbers,standard,videoclip,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,country-yasmin-videoclip-1,Videoclip:Itsy bitsy spider in my country,my-country,cultural,videoclip,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
