,User_ID,Activity_ID,No_of_attempts,Time_taken,Activity_score,Status,Act_Translanguage_Level
0,0,who-poiki-simulation-2,3,257.42981269913815,1.8597571201825196,Pass,1.9298785600912598
1,0,beach-bingo-1,3,264.939319810575,1.6082458365633006,Pass,1.7690621983272803
2,0,clothes-roulette-1,1,270.94580530732566,1.6457780477387434,Pass,1.7074201230330117
3,0,who-all-videoclip-1,2,262.54151604088287,1.8570867456899736,Pass,1.7822534343614926
4,0,who-wendy-book-1,4,253.20739211301904,1.7840323225203285,Pass,1.7831428784409105
5,0,farm-poiki-video-2,2,272.17138512283805,1.7070717680970562,Pass,1.7451073232689833
6,0,farm-poiki-video-1,3,263.8317958345849,1.5503889507920308,Pass,1.647748137030507
7,0,alphabet-kevin-tracing-1,2,254.27129406162467,1.896476959876331,Pass,1.772112548453419
8,0,lab-wendy-shapes-1,2,265.60523601183905,2.2947334943836144,Pass,2.0334230214185167
9,0,colors-bingo-1,2,270.5823679351339,1.9105419005915523,Pass,1.9719824610050345
0,1,seanimals-yasmin-hotspot-1,2,270.62443457703023,1.5496913124041625,Pass,1.7748456562020811
1,1,cooking-poiki-simulation-1,2,275.9161178473484,1.6072948801406626,Pass,1.6910702681713718
2,1,farm-poiki-video-2,2,278.6116047699819,1.3245571450466471,Pass,1.5078137066090096
3,1,farm-poiki-book-1,1,279.2020845631543,1.5650683696289946,Pass,1.5364410381190021
4,1,farm-poiki-simulation-1,1,270.0471071160759,1.4682107448894584,Pass,1.5023258915042303
5,1,foods-poiki-hotspot-1,1,283.370911916603,1.4319524895864717,Pass,1.467139190545351
6,1,birthday-wendy-simulation-1,2,271.3541816788444,1.3473741200358131,Pass,1.407256655290582
7,1,country-none-book-1,2,266.12608634828933,1.6503194721713603,Pass,1.5287880637309712
8,1,newbaby-poiki-hotspot-1,2,271.04390771434055,1.2792331099087284,Pass,1.4040105868198498
9,1,mycountry-yasmin-coloring-1,2,278.3213605227759,1.4498560972601302,Pass,1.4269333420399901
0,2,country-yasmin-videoclip-1,2,265.2672432858302,0.7993561730396522,Pass,0.8996780865198262
1,2,farm-poiki-video-1,3,261.7318327731334,0.772288472579439,Pass,0.8359832795496326
2,2,farm-poiki-video-1,1,269.6214546589397,0.8005870778726761,Pass,0.8182851787111544
3,2,farm-poiki-video-2,2,268.52877098412563,0.5504200008655686,Pass,0.6843525897883616
4,2,lab-kevin-game-1,1,267.94537983478193,0.7200494510829758,Pass,0.7022010204356687
5,2,lab-wendy-shapes-1,2,261.47789697059784,0.8000696179858491,Pass,0.7511353192107588
6,2,country-wendy-videoclip-1,3,256.1728361613335,0.6382313292242039,Pass,0.6946833242174814
7,2,country-wendy-videoclip-1,1,272.781048129616,0.4755744801503524,Pass,0.5851289021839169
8,2,shapes-poiki-sequence-1,2,265.85673911026606,0.7832726945655906,Pass,0.6842007983747538
9,2,farm-poiki-video-2,1,265.37020034140795,0.4883647647017547,Pass,0.5862827815382543
0,3,lab-wendy-shapes-1,3,265.2395739139528,0.7607794292340708,Pass,0.8803897146170354
1,3,farm-wendy-simulation-2,1,276.39179205413683,0.48268158629044056,Pass,0.681535650453738
2,3,farm-poiki-video-1,2,271.32268367946165,0.5075806645998976,Pass,0.5945581575268177
3,3,lab-kevin-game-1,1,279.0489347189596,0.729234462153643,Pass,0.6618963098402304
4,3,farm-poiki-video-2,1,272.9206520131898,0.7178232885095968,Pass,0.6898597991749136
5,3,alphabet-poiki-tracing-1,2,268.9631170777719,0.45821904974583577,Pass,0.5740394244603747
6,3,country-yasmin-videoclip-1,2,277.95685541413496,0.3715210124721998,Pass,0.47278021846628726
7,3,shapes-poiki-sequence-1,1,272.8034571242915,0.4458811457370143,Pass,0.4593306821016508
8,3,insects-roulette-1,1,277.45995840550074,0.5661980723321979,Pass,0.5127643772169244
9,3,farm-poiki-video-1,3,256.2027245814322,0.5639179336879977,Pass,0.5383411554524611
0,4,lab-kevin-game-1,2,241.69366647701287,2.812178689294791,Pass,2.4060893446473957
1,4,farm-poiki-video-2,2,238.83201737206386,3.0289221997116966,Pass,2.717505772179546
2,4,farm-poiki-video-1,2,256.2322752509005,2.7648750400189606,Pass,2.7411904060992534
3,4,country-none-book-1,2,241.41491689189792,2.771140476821357,Pass,2.756165441460305
4,4,farm-poiki-video-2,2,246.60941492526467,2.871743507364459,Pass,2.813954474412382
5,4,yho-yasmin-tracing-1,2,238.20994069630592,2.7477259911305856,Pass,2.780840232771484
6,4,cooking-kevin-simulation-2,1,260.4721493505683,2.7394149286501266,Pass,2.7601275807108054
7,4,farm-poiki-video-1,1,250.29801457697388,2.3825546189939004,Pass,2.571341099852353
8,4,shapes-poiki-sequence-1,2,244.9109840205483,2.501338137892149,Pass,2.536339618872251
9,4,lab-wendy-shapes-1,2,244.89683004246044,2.836800811520771,Pass,2.686570215196511
