index,TimeStamp,Activity_ID,User_ID,Hits,Misses,Max_Hits,GamePlayTime,Course_ID,Words_List
0,1628217861.0,easter-colors-game-2,0,6,3,8,279.48390574103223,0_0,"['purple', 'red', 'black', 'orange', 'orange', 'purple']"
1,1626300874.0,easter-colors-game-2,0,5,1,8,279.09208713634405,0_0,"['orange', 'black', 'black', 'black', 'orange']"
2,1618821086.0,pirate-all-puzzle-1,0,6,1,8,283.26809297720183,0_0,"['two', 'six', 'one', 'five', 'seven', 'eight']"
3,1615237193.0,values-all-book-20,0,0,0,1,274.60860998708455,0_0,[]
4,1620831977.0,values-all-book-22,0,0,0,1,278.4884862471233,0_0,[]
5,1618474403.0,values-all-book-6,0,0,0,1,271.7271461674389,0_0,[]
6,1626873841.0,polar-yasmin-flashcards-2,0,3,1,6,276.8283895315952,0_0,"['seagull', 'seagull', 'penguin']"
7,1616221453.0,farm-yasmin-flashcards-3,0,5,0,7,288.9558423060496,0_0,"['hen', 'sheep', 'ram', 'duckling', 'duck']"
8,1620063170.0,cristmas-colors-game-2,0,5,3,8,275.6460142540906,0_0,"['orange', 'yellow', 'red', 'brown', 'green']"
9,1622430599.0,fruits-yasmin-flashcards-3,0,4,0,7,287.62753619331284,0_0,"['raspberry', 'strawberry', 'banana', 'pineapple']"
10,1629629893.0,celebrations-all-videoclip-1,1,0,0,1,353.78183198587203,1_0,[]
11,1620685924.0,values-all-book-29,1,0,0,1,352.266724535096,1_0,[]
12,1615745354.0,fruits-yasmin-identification-1,1,4,3,12,361.33779480213286,1_0,"['papaya', 'strawberry', 'lemon', 'mango']"
13,1626253204.0,easter-colors-game-2,1,4,2,8,352.5742693977226,1_0,"['brown', 'yellow', 'black', 'purple']"
14,1623206261.0,farm-poiki-videoclip-2,1,0,0,1,349.8242322413918,1_0,[]
15,1615050734.0,pirates-all-puzzle-2 ,1,5,2,8,346.0990449218704,1_0,"['four', 'three', 'three', 'seven', 'six']"
16,1629666105.0,easter-colors-game-1,1,4,1,6,347.43588887277923,1_0,"['red', 'yellow', 'red', 'green']"
17,1631285387.0,colors-kevin-game-4,1,6,2,8,351.72767578109375,1_0,"['yellow', 'yellow', 'orange', 'brown', 'purple', 'orange']"
18,1627459543.0,values-all-book-39,1,0,0,1,349.5098377465385,1_0,[]
19,1629498049.0,values-all-book-33,1,0,0,1,357.5796922706154,1_0,[]
20,1616372982.0,easter-colors-game-2,2,5,3,8,314.8287857910777,2_0,"['brown', 'green', 'orange', 'brown', 'brown']"
21,1625677394.0,farm-poiki-videoclip-2,2,0,0,1,314.3121040148443,2_0,[]
22,1629424275.0,fruits-yasmin-identification-1,2,10,2,12,313.53571545138277,2_0,"['lemon', 'tomato', 'avocado', 'apple', 'blueberries', 'melon', 'melon', 'pear', 'tomato', 'mango']"
23,1624660947.0,values-all-book-39,2,0,0,1,322.463796957079,2_0,[]
24,1619964420.0,colors-kevin-game-4,2,5,1,8,323.276318653613,2_0,"['purple', 'yellow', 'purple', 'red', 'purple']"
25,1611729549.0,values-all-book-33,2,0,0,1,322.60993864802697,2_0,[]
26,1619122604.0,values-all-book-32,2,0,0,1,317.94975153398724,2_0,[]
27,1623040384.0,easter-colors-game-1,2,5,2,6,318.6916396650383,2_0,"['green', 'yellow', 'blue', 'blue', 'red']"
28,1629738486.0,pirates-all-puzzle-2 ,2,4,3,8,317.533400583189,2_0,"['three', 'three', 'one', 'seven']"
29,1630926696.0,values-all-book-29,2,0,0,1,314.68602539609736,2_0,[]
30,1620072322.0,farm-yasmin-flashcards-3,3,4,1,7,249.12106015093468,3_0,"['billygoat', 'pig', 'calf', 'lamb']"
31,1628680950.0,polar-yasmin-flashcards-2,3,4,2,6,251.07824711679484,3_0,"['penguin-baby', 'snow-fox', 'puffin', 'seal']"
32,1615272123.0,mycountry-wendy-videoclip-1,3,0,0,1,252.48700083134392,3_0,[]
33,1627344494.0,values-all-book-22,3,0,0,1,252.49093345417626,3_0,[]
34,1621661682.0,pirate-all-puzzle-1,3,6,2,8,255.04421917237727,3_0,"['two', 'six', 'eight', 'one', 'seven', 'six']"
35,1609808304.0,easter-colors-game-3,3,7,2,8,257.3391678763567,3_0,"['green', 'orange', 'red', 'blue', 'orange', 'green', 'beige']"
36,1625452877.0,values-all-book-6,3,0,0,1,253.8502794392376,3_0,[]
37,1618338931.0,mycountry-wendy-puzzle-1,3,6,1,8,250.06985614485586,3_0,"['four', 'four', 'one', 'five', 'eight', 'two']"
38,1627783841.0,fruits-yasmin-flashcards-3,3,5,2,7,252.47175794658537,3_0,"['tomato', 'lime', 'strawberry', 'mango', 'mango']"
39,1624309979.0,values-all-book-20,3,0,0,1,253.45817020067028,3_0,[]
40,1609522336.0,values-all-book-33,4,0,0,1,284.71630362484746,4_0,[]
41,1620439638.0,beach-yasmin-puzzle-1,4,2,2,4,270.97366186018945,4_0,"['three', 'three']"
42,1628731783.0,farm-poiki-videoclip-2,4,0,0,1,278.59822252407747,4_0,[]
43,1614904512.0,values-all-book-10,4,0,0,1,275.8676943966328,4_0,[]
44,1616706791.0,values-all-book-4,4,0,0,1,280.0188544454314,4_0,[]
45,1628795376.0,values-all-book-12,4,0,0,1,274.8347314321386,4_0,[]
46,1613732963.0,farm-poiki-demovideo-4,4,0,0,1,272.1468829568327,4_0,[]
47,1622078732.0,easter-colors-game-1,4,5,0,6,282.2435944105388,4_0,"['black', 'blue', 'blue', 'yellow', 'yellow']"
48,1614787123.0,vegetables-yasmin-flashcards-3,4,3,1,7,271.91762905674483,4_0,"['beetroot', 'bellpepper', 'zucchini']"
49,1630947400.0,farm-yasmin-flashcards-3,4,6,0,7,280.5943822707579,4_0,"['hen', 'piglet', 'goose', 'hen', 'horse', 'duck']"
50,1627303516.0,who-wendy-demovideo-1,5,0,0,1,292.00148974670014,5_0,[]
51,1619428500.0,polar-yasmin-flashcards-2,5,4,1,6,288.21326738432896,5_0,"['seal', 'seagull', 'puffin', 'sealion']"
52,1611280486.0,values-all-book-38,5,0,0,1,289.3495217747038,5_0,[]
53,1616592621.0,values-all-book-6,5,0,0,1,290.5955245947415,5_0,[]
54,1620758061.0,pirate-all-puzzle-1,5,4,2,8,287.4480535048656,5_0,"['eight', 'six', 'seven', 'four']"
55,1630177957.0,farm-yasmin-flashcards-3,5,4,3,7,285.2426293740367,5_0,"['ox', 'goat', 'goose', 'calf']"
56,1611914816.0,socialcodes-all-cartoon-2,5,0,0,1,276.55689979992735,5_0,[]
57,1621718613.0,values-all-book-34,5,0,0,1,279.2883144000534,5_0,[]
