,Stamp,Activity_ID,User_ID,Hits,Misses,Max_Hits,GamePlayTime,Scores,Translanguage_Level_1,Translanguage_Level_2,Words,Course_ID,Usefulness
0,2021-09-27 03:19:31,easter-colors-game-2,0,8,7,8,279.48390574103223,64.29935749083488,1,3,"['orange', 'purple', 'purple', 'brown', 'black', 'green', 'brown', 'blue']",0_0,26.50011577041895
1,2021-09-30 22:21:26,easter-colors-game-2,0,8,5,8,287.0510231556561,71.99260214210061,1,3,"['purple', 'white', 'black', 'white', 'blue', 'purple', 'red', 'yellow']",0_0,21.88416897965951
2,2021-10-03 00:54:19,pirate-all-puzzle-1,0,8,4,8,275.56107126184946,76.45515594384747,1,2,"['two', 'eight', 'two', 'two', 'four', 'seven', 'eight', 'four']",0_0,19.20663669861139
3,2021-10-04 08:03:06,values-all-book-20,0,1,0,1,270.0960176588804,84.47900305466248,1,1,['stressed'],0_0,14.392328432122383
4,2021-10-06 21:28:46,values-all-book-22,0,1,0,1,274.7572351746645,84.41475368003914,1,1,['sad'],0_0,14.43087805689639
5,2021-10-08 22:08:51,values-all-book-6,0,1,0,1,272.8999103141051,84.44048645472093,1,1,['scared'],0_0,14.415438392087319
6,2021-10-12 20:16:43,polar-yasmin-flashcards-2,0,6,2,6,275.5226671940316,80.12112626506966,1,2,"['seal', 'walrus', 'puffin', 'walrus', 'snow-fox', 'sealion']",0_0,17.007054505878077
7,2021-10-14 08:45:09,farm-yasmin-flashcards-3,0,7,3,7,279.77638149876225,77.77976153420445,1,2,"['cow', 'cow', 'hen', 'hen', 'goatling', 'billygoat', 'hen']",0_0,18.4118733443972
8,2021-10-16 18:01:17,cristmas-colors-game-2,0,7,5,8,284.9991484662509,62.07659066338221,1,3,"['orange', 'red', 'red', 'brown', 'brown', 'brown', 'yellow']",0_0,27.833775866890544
9,2021-10-19 16:06:22,fruits-yasmin-flashcards-3,0,7,1,7,279.10037582093827,86.9479061481413,1,1,"['', 'blueberries', 'plum', 'papaya', 'watermelon', 'dragonfruit', 'red-currant']",0_0,12.910986576035095
